sample,sex,bam,bai
HG01969,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01969.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01969.GRCh38_no_alt.flnc.bam.bai
HG01975,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01975.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01975.GRCh38_no_alt.flnc.bam.bai
HG01978,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01978.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01978.GRCh38_no_alt.flnc.bam.bai
HG01981,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01981.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01981.GRCh38_no_alt.flnc.bam.bai
HG01993,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01993.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01993.GRCh38_no_alt.flnc.bam.bai
HG02004,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02004.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02004.GRCh38_no_alt.flnc.bam.bai
HG02015,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02015.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02015.GRCh38_no_alt.flnc.bam.bai
HG02027,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02027.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02027.GRCh38_no_alt.flnc.bam.bai
HG02040,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02040.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02040.GRCh38_no_alt.flnc.bam.bai
HG02056,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02056.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02056.GRCh38_no_alt.flnc.bam.bai
HG02071,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02071.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02071.GRCh38_no_alt.flnc.bam.bai
HG02074,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02074.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02074.GRCh38_no_alt.flnc.bam.bai
HG02083,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02083.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02083.GRCh38_no_alt.flnc.bam.bai
HG02129,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02129.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02129.GRCh38_no_alt.flnc.bam.bai
HG02132,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02132.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02132.GRCh38_no_alt.flnc.bam.bai
HG02135,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02135.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02135.GRCh38_no_alt.flnc.bam.bai
